id;user_id;title;article_body;date_article
1;8878;index Licensed;copy lavender;2021-04-27
2;9727;backing compress;Home visualize;2021-04-27
3;89361;teal Pre-emptive PCI;Nevada invoice Egypt;2021-04-27
4;4247;Plastic;program HTTP XSS;2021-04-26
5;27802;Borders Mouse Intelligent;Outdoors;2021-04-26
6;5895;SDD Cambridgeshire;Virginia Program global;2021-04-27
7;48220;matrix Implementation;Small capacitor;2021-04-26
8;64010;Solutions wireless compress;rich yellow;2021-04-27
9;44253;web-enabled auxiliary;Plastic;2021-04-26
10;48472;back generate;overriding synergistic;2021-04-26
